#SNname    zcmb    sBV    +/-   dm15   +/-   M(H)    +/-     M(J)    +/-     M(Y)    +/-     M(i)    +/-     M(V)    +/-     M(B)    +/-    
SN2006et   0.02165  1.093 0.008  0.879 0.024 -18.403  0.102 -18.673  0.102 -18.593  0.102 -18.658  0.102 -19.422  0.102 -19.499  0.102
SN2006ev   0.02760  0.850 0.020  1.335 0.036 -18.207  0.097 -18.435  0.115 -18.303  0.097 -18.201  0.104 -18.987  0.093 -19.013  0.100
SN2006fw   0.08199  0.888 0.049  1.120 0.121  99.990  9.990  99.990  9.990  99.990  9.990 -18.609  0.088 -19.047  0.074 -19.244  0.069
SN2006gj   0.02697  0.655 0.007  1.638 0.082 -18.057  0.111 -18.333  0.123 -18.223  0.102 -18.087  0.085 -18.608  0.086 -18.591  0.086
SN2006gt   0.04364  0.558 0.008  1.862 0.092 -17.987  0.126 -18.304  0.075 -18.156  0.058 -18.043  0.055 -18.554  0.056 -18.404  0.057
SN2006hb   0.01534  0.672 0.018  1.582 0.035 -18.207  0.147 -18.450  0.158 -18.320  0.152 -18.217  0.154 -18.795  0.148 -18.741  0.152
SN2006hx   0.04440  0.993 0.018  1.250 0.068 -18.524  0.085 -18.695  0.087 -18.529  0.073 -18.743  0.068 -19.415  0.059 -19.463  0.059
SN2006is   0.03142  1.325 0.026  0.796 0.040 -18.403  0.096 -18.881  0.127 -18.410  0.094 -18.453  0.098 -19.462  0.082 -19.519  0.090
SN2006kf   0.02080  0.734 0.004  1.585 0.026 -18.283  0.109 -18.432  0.105 -18.365  0.106 -18.241  0.106 -18.849  0.107 -18.886  0.108
SN2006lu   0.05440  1.051 0.022  0.939 0.037  99.990  9.990  99.990  9.990 -18.290  0.086 -18.515  0.077 -19.321  0.061 -19.362  0.072
SN2006mr   0.00551  0.229 0.004  1.825 0.022 -17.395  0.092 -17.262  0.091 -17.436  0.093 -17.079  0.096 -17.123  0.100 -16.660  0.106
SN2006ob   0.05826  0.717 0.012  1.500 0.016 -18.276  0.187 -18.422  0.136 -18.329  0.101 -18.343  0.047 -18.938  0.047 -18.894  0.047
SN2006os   0.03208  0.917 0.024  1.045 0.048 -18.416  0.108 -18.576  0.079 -18.578  0.075 -18.525  0.102 -19.214  0.087 -19.301  0.094
SN2006py   0.05664  0.943 0.025  1.071 0.053  99.990  9.990  99.990  9.990  99.990  9.990 -18.523  0.053 -19.284  0.054 -19.323  0.056
SN2007A    0.01646  1.013 0.011  0.980 0.079 -18.266  0.141 -18.574  0.134 -18.457  0.133 -18.490  0.133 -19.266  0.134 -19.329  0.134
SN2007N    0.01400  0.323 0.008  1.928 0.005 -17.751  0.164 -17.660  0.173 -17.621  0.167 -17.244  0.160 -17.658  0.162 -17.290  0.164
SN2007S    0.01502  1.115 0.009  0.774 0.085 -18.577  0.145 -18.823  0.145 -18.698  0.145 -18.783  0.146 -19.600  0.146 -19.670  0.146
SN2007af   0.00629  0.924 0.003  1.170 0.031 -18.309  0.063 -18.501  0.063 -18.428  0.063 -18.413  0.064 -19.140  0.064 -19.228  0.065
SN2007ai   0.03199  1.233 0.014  0.810 0.012 -18.607  0.078 -18.847  0.074 -18.634  0.073 -18.723  0.076 -19.565  0.077 -19.659  0.079
SN2007al   0.01326  0.343 0.022  1.912 0.007 -17.833  0.177 -17.664  0.182 -17.574  0.177 -17.429  0.181 -17.768  0.175 -17.393  0.181
SN2007as   0.01790  0.884 0.005  1.174 0.006 -18.288  0.126 -18.500  0.123 -18.453  0.123 -18.332  0.123 -19.132  0.123 -19.166  0.123
SN2007ax   0.00764  0.369 0.011  1.902 0.056 -17.477  0.300  99.990  9.990 -17.359  0.287 -17.102  0.288 -17.457  0.289 -17.145  0.290
SN2007ba   0.03905  0.542 0.006  1.828 0.028 -18.489  0.105 -18.449  0.067 -18.385  0.059 -18.322  0.063 -18.730  0.061 -18.619  0.062
SN2007bc   0.02185  0.877 0.005  1.340 0.130 -18.357  0.119 -18.473  0.103 -18.554  0.102 -18.462  0.101 -19.128  0.101 -19.195  0.101
SN2007bd   0.03183  0.882 0.005  1.182 0.039 -18.323  0.089 -18.526  0.078 -18.489  0.071 -18.426  0.071 -19.142  0.071 -19.200  0.071
SN2007bm   0.00744  0.908 0.008  1.194 0.012 -18.597  0.294 -18.799  0.292 -18.752  0.293 -18.769  0.293 -19.431  0.293 -19.508  0.292
SN2007ca   0.01507  1.058 0.007  0.895 0.017 -18.372  0.146 -18.592  0.146 -18.422  0.145 -18.531  0.145 -19.322  0.146 -19.400  0.145
SN2007cg   0.03417  1.109 0.047  0.799 0.052  99.990  9.990  99.990  9.990 -18.757  0.109 -18.685  0.114 -19.556  0.107 -19.599  0.119
SN2007hj   0.01288  0.602 0.005  1.767 0.021 -17.916  0.173 -18.131  0.183 -18.000  0.177 -17.880  0.170 -18.399  0.171 -18.317  0.170
